Well Name,# Stages,# Clusters ,Estimated Average Stage Time,Actual Average Stage Time,Frac Fleet,Fleet Type,Target Formation,Field Area,Ambient Temperature,Grid,Diesel,CNG,Fuel Type,Sand Provider 
Cameron 1H,68,480,85.7,120.5,Fleet 4,Zipper,Pecan Tree,West Campus,35.9,0,0,22717,Turbine,SAND_C_X
Cameron 2H,68,431,85.7,117.6,Fleet 4,Zipper,Pecan Tree,West Campus,35.9,0,0,22717,Turbine,SAND_C_R
Tipton 1H,76,507,76.2,87,Fleet 8,Zipper,Bluebonnet,Gregory Gym,38.1,0,65098,14690,DGB,SAND_C_R
Tipton 2H,76,565,76.2,87.3,Fleet 8,Zipper,Lone Star,Gregory Gym,38.1,0,64526,14644,DGB,SAND_C_A
Tipton 3H,76,522,76.2,90.8,Fleet 8,Zipper,Longhorn,Gregory Gym,38.1,0,67659,14975,DGB,SAND_C_X
Union 1H,37,270,88,97.2,Fleet 12,Simul,Monarch Butterfly,DKR,38.7,0,53175,0,Diesel,SAND_C_A
Union 2H,31,208,102.4,108.4,Fleet 12,Simul,Rodeo,DKR,38.7,0,49861,0,Diesel,SAND_C_R
Union 3H,37,252,,100.5,Fleet 12,Simul,Cowboy,DKR,38.7,0,48264,0,Diesel,SAND_C_A
Union 4H,37,231,80,104.6,Fleet 12,Simul,Longhorn,DKR,38.7,0,48929,0,Diesel,SAND_C_A
Union 5H,37,221,,104.9,Fleet 12,Simul,Bluebonnet,DKR,38.7,0,55909,0,Diesel,SAND_C_A
Union 6H,37,283,80,98.2,Fleet 12,Simul,Longhorn,DKR,38.7,0,54827,0,Diesel,SAND_C_R
Griggs 1H,65,419,72,86.7,Fleet 14,Simul,Rodeo,DKR,39.2,0,80053,0,Diesel,SAND_C_A
Griggs 2H,65,434,100,,Fleet 14,Simul,Cowboy,DKR,39.2,0,97968,0,Diesel,SAND_C_R
Griggs 3H,65,457,90,,Fleet 14,Simul,Longhorn,DKR,39.2,0,100263,0,Diesel,SAND_C_R
Griggs 4H,65,445,80,,Fleet 14,Simul,Bluebonnet,DKR,39.2,0,87487,0,Diesel,SAND_C_A
Waseca 1H,62,421,,110.2,Fleet 3,,Bluebonnet,The Tower,39.5,0,0,23694,Turbine,SAND_C_A
Waseca 2H,62,440,,113.1,Fleet 3,,Bluebonnet,The Tower,39.5,0,0,23549,Turbine,SAND_C_A
Callahan 1H,64,494,120,131.2,Fleet 9,Simul,Lone Star,CPE,39.6,0,36788,4235,DGB,SAND_C_X
Callahan 2H,64,495,120,129,Fleet 9,Simul,Longhorn,CPE,39.6,0,41731,4222,DGB,SAND_C_A
Callahan 3H,64,426,120,131.4,Fleet 9,Simul,Lone Star,CPE,39.6,0,44628,4235,DGB,SAND_C_X
Callahan 4H,64,495,,,Fleet 9,Simul,Longhorn,CPE,39.6,0,46976,4132,DGB,SAND_C_A
Callahan 5H,64,466,120,133.3,Fleet 9,Simul,Lone Star,CPE,39.6,0,47026,4249,DGB,SAND_C_R
Callahan 6H,64,468,120,129.7,Fleet 9,Simul,Longhorn,CPE,39.6,0,40002,4112,DGB,SAND_C_R
St. Louis 1H,37,215,57.1,75.5,Fleet 8,Zipper,Longhorn,DKR,40.1,0,24490,6411,DGB,SAND_C_X
St. Louis 2H,37,218,57.1,70.8,Fleet 8,Zipper,Cowboy,DKR,40.1,0,24679,6014,DGB,SAND_C_X
